gene_id,pyrEplusFe2,pyrEplusFe3,troRplusFe1,troRplusFe2,troRplusFe3
HVO_RS02450,234,370,247,243,268
HVO_RS02455,31181,52941,68941,65822,45357
HVO_RS02465,1810,2536,1673,1192,1085
HVO_RS02470,829,1353,829,547,500
HVO_RS02480,147,185,186,157,121
HVO_RS02485,8,16,18,16,15
HVO_RS02490,2,6,11,19,8
HVO_RS02495,1,11,7,8,11
HVO_RS02500,63,84,202,131,66
HVO_RS02505,139,230,227,201,146
HVO_RS02510,10,13,37,22,20
HVO_RS02515,11,14,44,37,25
HVO_RS02520,297,340,456,317,280
HVO_RS02525,43,46,76,67,32
HVO_RS02530,376,575,765,675,446
HVO_RS02535,0,0,0,0,0
HVO_RS02540,18,23,21,19,12
HVO_RS02545,50,85,70,78,50
HVO_RS02550,191,220,287,261,158
HVO_RS02555,5,11,7,3,3
HVO_RS02565,544,738,1790,1628,848
HVO_RS02575,589,760,1573,1186,855
HVO_RS02580,550,714,1931,1731,1073
HVO_RS02585,39,75,179,157,103
HVO_RS02590,56,64,240,261,131
HVO_RS02595,154,203,443,333,249
HVO_RS02600,31,19,97,80,49
HVO_RS02605,84,124,460,385,245
HVO_RS02610,32,54,40,69,33
HVO_RS02615,707,1046,2137,1554,1090
HVO_RS02620,1694,2118,5261,4223,2819
HVO_RS02625,1982,2564,2603,1962,1581
HVO_RS02630,1842,2219,4885,4509,3562
HVO_RS02635,25288,28426,40062,29875,35348
HVO_RS02650,6517,8106,10386,9385,6410
HVO_RS02655,325,477,1097,879,534
HVO_RS02660,486,527,1218,937,611
HVO_RS02665,1870,2213,2995,2621,1819
HVO_RS02670,1491,1998,4488,3949,2329
HVO_RS02675,559,630,3304,3126,1508
HVO_RS02680,2151,2623,1895,1413,1432
HVO_RS02685,271,261,843,581,434
HVO_RS02690,4253,6421,10237,7221,6239
HVO_RS02695,76,81,86,84,61
HVO_RS02700,1199,1817,2576,2056,1371
HVO_RS02705,805,1174,1349,996,724
HVO_RS02710,350,553,570,435,316
HVO_RS02715,49,81,72,62,40
HVO_RS02720,53,63,118,71,51
HVO_RS02725,164,226,178,130,146
HVO_RS02730,25,42,42,40,28
HVO_RS02735,129,192,218,217,148
HVO_RS02740,47,66,83,70,48
HVO_RS02745,30,39,26,10,17
HVO_RS02750,45,49,51,37,41
HVO_RS02775,95,120,238,380,163
HVO_RS02795,93,157,107,84,73
HVO_RS02800,26,38,34,39,20
HVO_RS02805,45,48,84,76,48
HVO_RS02810,14,25,33,24,23
HVO_RS02815,26,22,55,42,25
HVO_RS02820,18,22,41,51,29
HVO_RS02825,13,27,36,33,19
HVO_RS02835,4,3,14,7,6
HVO_RS02840,4,9,10,9,7
HVO_RS02845,6,11,24,20,11
HVO_RS02850,16,29,48,30,21
HVO_RS02855,6,3,4,5,4
HVO_RS02865,137,207,557,426,323
HVO_RS02875,33,53,60,45,48
HVO_RS02880,38,75,65,42,41
HVO_RS02885,130,159,238,250,150
HVO_RS02890,294,389,480,487,325
