"","variable","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","strain","name","media","condition","techrep","biorep","X","X.1","ID"
"175","83",0.739585942367869,0.222563796489329,0.076021331434113,11.0873080850142,9.11779848476727,20.9432449880905,20.6238902777778,0.018482384742213,"AKS338","arsR","PR","100microMFe",2,3,NA,NA,"arsR (100microMFe)"
"176","84",0.715626352903278,0.223975260788192,0.0789402928949166,9.95985283143958,8.78065123830546,20.885714328218,20.5761423611111,0.0192902998013325,"AKS338","arsR","PR","100microMFe",3,3,NA,NA,"arsR (100microMFe)"
"177","85",0.748665472181979,0.227900549019536,0.0805938391906214,10.253753882442,8.60049834479911,21.7848502352213,21.4589105555556,0.0212432925333173,"SH121","TroRHA","PR","100microMFe",1,1,NA,NA,"TroRHA (100microMFe)"
"178","86",0.744631150717934,0.229387315013109,0.0824329020234772,9.81681257531,8.40862281377082,21.9505291688887,21.6251622222222,0.020647141053556,"SH121","TroRHA","PR","100microMFe",2,1,NA,NA,"TroRHA (100microMFe)"
"179","87",0.719010992694574,0.228590805451632,0.0838435412108546,9.10420776808274,8.26715058249721,21.5763184144785,21.2596552777778,0.0207229879840381,"SH121","TroRHA","PR","100microMFe",3,1,NA,NA,"TroRHA (100microMFe)"
"180","88",0.735821919233026,0.226399923227376,0.0734187929246511,11.0458603622269,9.44100485649927,20.7436671500492,20.43513,0.0204762961159756,"SH121","TroRHA","PR","100microMFe",1,2,NA,NA,"TroRHA (100microMFe)"
"181","89",0.737865647311281,0.224940679624684,0.0751357258582356,10.9707178829691,9.22526764255608,20.9097204646137,20.5993756944444,0.0196679235810168,"SH121","TroRHA","PR","100microMFe",2,2,NA,NA,"TroRHA (100microMFe)"
"183","90",0.683913506689621,0.228939784556755,0.0772745530804844,8.88753951861195,8.96992804135673,20.3350159053521,20.0401265277778,0.0188356319215346,"SH121","TroRHA","PR","100microMFe",3,2,NA,NA,"TroRHA (100microMFe)"
"184","91",0.578870958270508,0.228208759828114,0.0875363321309192,4.90724855256658,7.91839415345019,18.9675524855414,18.7058897222222,0.0161416536829412,"SH121","TroRHA","PR","100microMFe",1,3,NA,NA,"TroRHA (100microMFe)"
"185","92",0.597212059957025,0.228334413025719,0.0845132045734962,5.67548861957859,8.20164356632762,19.1811870093439,18.9108941666667,0.0163313867634819,"SH121","TroRHA","PR","100microMFe",2,3,NA,NA,"TroRHA (100microMFe)"
"186","93",0.598041887298218,0.22847218503978,0.0839859049670826,5.72625713509092,8.25313700949721,19.1684447464118,18.8981463888889,0.0164217187449443,"SH121","TroRHA","PR","100microMFe",3,3,NA,NA,"TroRHA (100microMFe)"
