"","variable","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","strain","name","media","condition","techrep","biorep","ID"
"58","150",0.789872226949247,0.274002028880168,0.0397458218964177,15.9191491956805,17.4394979770797,32.9430091373685,32.620735,0.0226111554427783,"SH117","troR","PR","(100Fe)",2,1,"troR ((100Fe))"
"59","151",0.779834497110131,0.266038111154359,0.0439157437432567,14.9875060983229,15.7835692049819,33.4645816539077,33.1417425,0.0265066468334386,"SH117","troR","PR","(100Fe)",3,1,"troR ((100Fe))"
"60","152",0.822531724052987,0.25972167357921,0.0424163449023558,18.2319248262339,16.3415113243633,33.6093324114043,33.2834666666667,0.0291135680547231,"SH117","troR","PR","(100Fe)",1,2,"troR ((100Fe))"
"61","153",0.815443604161283,0.254373425232322,0.0431218498189282,18.3443574824763,16.074152279425,33.348376299275,33.0272133333333,0.031049709197629,"SH117","troR","PR","(100Fe)",2,2,"troR ((100Fe))"
"62","154",0.837595491293665,0.257762533858284,0.0412150785994777,19.6700172729208,16.8178056214778,33.4113882845798,33.08696,0.0312835777243114,"SH117","troR","PR","(100Fe)",3,2,"troR ((100Fe))"
"63","155",0.903554669717896,0.253080694976711,0.0412431254554549,22.8884908283057,16.8063688894913,34.4035185229074,34.05722,0.0290290430446306,"SH117","troR","PR","(100Fe)",1,3,"troR ((100Fe))"
"64","156",0.88121843996858,0.247562954880532,0.0424403231084445,22.1449891559187,16.332278592432,34.0382632384639,33.6974641666667,0.028440198465508,"SH117","troR","PR","(100Fe)",2,3,"troR ((100Fe))"
"65","157",0.911511060859531,0.261574790305713,0.0392810557968954,23.1703055508638,17.6458388528021,34.3819807794777,34.03572,0.0272184075574629,"SH117","troR","PR","(100Fe)",3,3,"troR ((100Fe))"
"66","158",0.864926973118785,0.23263335175739,0.0692190795783512,14.445298414219,10.0138167797414,40.1833794837537,39.8014508333333,0.0203564643703105,"AKS338","arsR","PR","(100Fe)",1,1,"arsR ((100Fe))"
"67","16",0.34216956745726,0.265979638048549,0.0615726857748503,-20.3043029138848,11.2573809610083,20.8702612411371,20.7066675,0.00606809690558871,"SH118","idr","PR","(--Fe)",3,1,"idr ((--Fe))"
"68","160",0.648496087570372,0.244656835016668,0.0754627444495221,6.64116256883925,9.1852898488684,33.8796730474587,33.5852116666667,0.0213539616434858,"AKS338","arsR","PR","(100Fe)",3,1,"arsR ((100Fe))"
"69","161",0.622953256743284,0.262026880672835,0.0777422008284736,4.11908710110395,8.91597064622945,33.6226581624269,33.3394925,0.028138660260046,"H26","pyrE","PR","(250Fe)",1,1,"pyrE ((250Fe))"
"70","162",0.690176220168012,0.262780961029552,0.0686658875971487,7.08340677072169,10.0944909447108,35.3423837145257,35.0354841666667,0.0252637218409055,"H26","pyrE","PR","(250Fe)",2,1,"pyrE ((250Fe))"
"71","163",0.725211777199377,0.270810700555493,0.062707300464739,8.25358735073882,11.0536919214009,36.0715199687571,35.7449858333333,0.0209083337834431,"H26","pyrE","PR","(250Fe)",3,1,"pyrE ((250Fe))"
"72","164",0.798078767480674,0.271370357215027,0.0608995882240271,10.8894426690103,11.3818040609751,38.2154791005234,37.8542325,0.0179907580642096,"H26","pyrE","PR","(250Fe)",1,2,"pyrE ((250Fe))"
"73","165",0.7975898234664,0.269734966146635,0.0607722912637557,11.0474933637185,11.4056450093619,38.0999797656671,37.7414833333333,0.019651567183486,"H26","pyrE","PR","(250Fe)",2,2,"pyrE ((250Fe))"
"74","166",0.79635539268791,0.267282717435235,0.0623532719433099,10.950810093468,11.1164524163245,38.2515444475221,37.8879791666667,0.0173844629810315,"H26","pyrE","PR","(250Fe)",3,2,"pyrE ((250Fe))"
"75","167",0.816370883666286,0.265451474413413,0.0591736909829438,12.3392080200053,11.7137729461517,38.163365817616,37.7944775,0.0178796357747356,"H26","pyrE","PR","(250Fe)",1,3,"pyrE ((250Fe))"
"76","168",0.802621247643363,0.276831402287013,0.058888763897215,10.8932993669559,11.7704488036083,38.2141021017352,37.8542383333333,0.0197196102034243,"H26","pyrE","PR","(250Fe)",2,3,"pyrE ((250Fe))"
"77","169",0.810358571753733,0.272959913907626,0.0567839563468239,11.9296944659025,12.206743333035,37.8286717856053,37.4617283333333,0.0168896904907599,"H26","pyrE","PR","(250Fe)",3,3,"pyrE ((250Fe))"
"78","17",0.412127426245211,0.271191397071053,0.0305862924582493,-21.3990872255739,22.6620202989983,22.0756290216363,21.890915,0.00659512159865548,"SH118","idr","PR","(--Fe)",1,2,"idr ((--Fe))"
"79","170",0.67056704888342,0.266814300704161,0.0704540392588576,5.87971636633133,9.83828873193813,34.9621715139516,34.6539733333333,0.0214765842285234,"SH118","idr","PR","(250Fe)",1,1,"idr ((250Fe))"
"80","171",0.678643274447705,0.254917744433901,0.0714478563417346,7.1121096487892,9.70144124751102,34.9620219361564,34.6594783333333,0.0262096237845357,"SH118","idr","PR","(250Fe)",2,1,"idr ((250Fe))"
"81","172",0.676277192190236,0.249244045703461,0.073685454093641,7.30712897908509,9.4068386913797,34.9267610596406,34.6212283333333,0.0254084666462492,"SH118","idr","PR","(250Fe)",3,1,"idr ((250Fe))"
"82","173",0.717726440482225,0.269148940039902,0.0634274070455966,8.05356206005662,10.9281967030697,35.8549574319464,35.529485,0.021400837022637,"SH118","idr","PR","(250Fe)",1,2,"idr ((250Fe))"
"83","174",0.715271241201742,0.281097729168683,0.0593012042080429,7.33107966044478,11.6885852457265,35.6158378870122,35.2922433333333,0.0240440225985,"SH118","idr","PR","(250Fe)",2,2,"idr ((250Fe))"
"84","175",0.736166111918862,0.287425125075118,0.0552540919435792,8.0624519760579,12.5447212356277,35.8815472409266,35.5519875,0.0244514152201662,"SH118","idr","PR","(250Fe)",3,2,"idr ((250Fe))"
"85","176",0.777644495515695,0.282611294537148,0.0545533395742355,10.2753085587682,12.70586156539,36.82080125312,36.4692466666667,0.016324275450118,"SH118","idr","PR","(250Fe)",1,3,"idr ((250Fe))"
"86","177",0.731478589324497,0.278392593069644,0.0642421718748526,7.58146257678163,10.7895975545508,36.8277765935364,36.48799,0.0172655614489882,"SH118","idr","PR","(250Fe)",2,3,"idr ((250Fe))"
